Link;Titulo;Data da Postagem
https://www.corinthians.com.br/noticias/futebol-masculino-timao-se-reapresenta-e-inicia-trabalhos-visando-a-proxima-rodada;Futebol Masculino: Timão se reapresenta e inicia trabalhos visando a próxima rodada;19.09.2023 18:32
https://www.corinthians.com.br/noticias/ingressos-corinthians-x-fortaleza-26-9-conmebol-sudamericana-2023;Ingressos: Corinthians x Fortaleza (26/9) – CONMEBOL Sudamericana 2023;19.09.2023 17:00
https://www.corinthians.com.br/noticias/credenciamento-de-imprensa-para-corinthians-e-fortaleza;Credenciamento de imprensa para Corinthians e Fortaleza;19.09.2023 15:59
https://www.corinthians.com.br/noticias/corinthians-tem-excelente-desempenho-na-copa-do-brasil-de-futebol-de-mesa;Corinthians tem excelente desempenho na Copa do Brasil de Futebol de mesa;19.09.2023 14:11
https://www.corinthians.com.br/noticias/futebol-feminino-corinthians-tem-treino-ofensivo-nesta-terca-feira;Futebol Feminino: Corinthians tem treino ofensivo nesta terça-feira;19.09.2023 12:02
https://www.corinthians.com.br/noticias/memorial-abre-exposicao-com-artistas-corinthianos;Memorial abre exposição com artistas corinthianos;19.09.2023 11:03
https://www.corinthians.com.br/noticias/em-jogo-de-oito-gols-timao-empata-com-o-gremio-no-brasileirao-2023;Em jogo de oito gols, Timão empata com o Grêmio no Brasileirão 2023;18.09.2023 23:13
https://www.corinthians.com.br/noticias/futebol-feminino-timao-inicia-preparacao-para-a-conembol-libertadores-feminina;Futebol feminino: Timão inicia preparação para a CONEMBOL Libertadores Feminina;18.09.2023 14:16
https://www.corinthians.com.br/noticias/estao-abertas-as-inscricoes-para-a-chute-inicial-experience-2023;Estão abertas as inscrições para a Chute Inicial Experience 2023;18.09.2023 13:32
https://www.corinthians.com.br/noticias/ingressos-corinthians-x-magnus-27-9-camp-paulista-de-futsal-2023-final;Ingressos: Corinthians x Magnus (27/9) – Camp. Paulista de Futsal 2023 - Final;18.09.2023 10:00
